Name,Suburb,Street,Longitude,Latitude,Opens,Closes,Website,Phone,
Ресторан Буре Срна,Karposh 3,Nikola Rusinski,21.3936186,42.0045887,08:00,00:00,https://buresrna.mk/,38923066676,
Македонска куќа,Kozle,Mitropolit Teodosij Gologanov,21.4021466750278,41.9960393,08:00,24:00,http://www.makedonskakuka.com/en/skopje.php,Unknown,
Sushi Ко,Debar Maalo,Leninova,21.4239688671865,41.99968945,12:00,23:00,http://www.sushico.mk,+389 2 3217874,
Лира,Karposh 1,Nikola Tesla,21.4107452643245,42.00603985,09:00,24:00,http://www.lyra.com.mk/,+389 2 3061726,
Ресторан Маргер,Karposh 1,Boulevard Ilinden,21.4140163906112,42.00819955,08:00,24:00,http://www.marger.com.mk,+389 78 685 086,+389 23 067 428
Скара Бар,Taftalidzhe 1,Варшавска,21.3924371105775,42.00170455,08:00,24:00,http://skarabar.mk/,+389 75 727110,
Јавна Соба,Vodno,50 Divizija,21.4259580991788,41.9898962,08:00,24:00,http://publicroom.org/contact.html,+389 2 6092650,
Restoran Olive,Taftalidzhe 1,Pariska,21.40142545,42.0013528,09:00,24:00,https://www.facebook.com/olive.skopje/,+389 (0)2 3 06 66 23,
Кај Џино,Madzhir Maalo,Паркинг ГТЦ,21.4342799,41.9943261,08:00,24:00,http://www.restorangino.mk/,+389 2 3121109,
Pastel Wine & Dine,Kapishtec,Kliment Ohridski Boulevard,21.4245254,41.9947645,06:30,21:00,http://pastel.mk/,+389 2 3214447,
Дестан,Debar Maalo,Владимир Полежановски,21.4204158,41.9987513,09:00,23:00,https://destan.mk/pocetna/,38923127324,
Пивница АН,Madzhir Maalo,Gradiste,21.4366005,42.0000179,09:00,24:00,http://pivnicaan.mk/,+389 02 321 2111,
Trend Food Bar,Karposh 3,Boulevard Partizanski Odredi,21.3909265,42.0041936,Unknown,Unknown,http://www.caffetrend.mk/,+389 70 306425,
Пекинг Гарден,Debar Maalo,Maksim Gorki,21.4301301,41.9957324,11:00,24:00,www.pekinggarden.mk,+389 2 3221173,
Amigos Мексиканска Кантина,Debar Maalo,Makedonija,21.4300742,41.9933026,08:00,24:00,http://www.amigos.com.mk/,+389 71 230314,
Ch2pter,Karposh 4,Ljubljanska,21.3862677,42.004606,Unknown,Unknown,http://www.caffetrend.mk/,+389 75 490 155,
Македонска куќа,Kozle,Mitropolit Teodosij Gologanov,21.4021635,41.9959806,08:00,00:00,http://www.makedonskakuka.com,38923296415,
